ZMH,108 Mile Ranch Airport;108 Mile Ranch#Canada!North America
AQG,Anqing Tianzhushan Airport;Anqing#China!Asia
AOG,Anshan Teng'ao Airport;Anshan#China!Asia
ATA,Anta Airport;Anta#Peru!South America
HTY,Hatay Airport;Antakya#Turkey!Europe
ANM,Antsirabato;Antalaha#Madagascar!Africa
AYT,Antalya Airport;Antalya#Turkey!Europe
TNR,Antananarivo Airport;Antananarivo#Madagascar!Africa
ANY,Anthony Airport;Anthony#United States!North America
AYL,Anthony Lagoon Airport;Anthony Lagoon#Australia!Oceania
ANU,V.C. Bird International Airport;Antigua#Antigua and Barbuda!Caribbean
EUQ,Evelio Javier  Airport;Antique#Philippines!Asia
ATE,Antlers Airport;Antlers#United States!North America
ANF,Cerro Moreno International Airport;Antofagasta#Chile!South America
WAQ,Antsalova Airport;Antsalova#Madagascar!Africa
ATJ,Antsirabe Airport;Antsirabe#Madagascar!Africa
DIE,Antsiranana/Arrachart Airport;Antsiranana#Madagascar!Africa
WAI,Antsohihy Airport;Antsohihy#Madagascar!Africa
ANR,Deurne Airport;Antwerp#Belgium!Europe
ANH,Anuha Island Resort Airport;Anuha Island Resort#Solomon Islands!Oceania
ACJ,Anuradhapura Airport;Anuradhapura#Sri Lanka!Asia
ANV,Anvik Airport;Anvik#United States!North America
AYN,Anyang Airport;Anyang#China!Asia
AOJ,Aomori Airport;Aomori#Japan!Asia
AOT,Corrado Gex Airport;Aosta#Italy!Europe
AAF,Apalachicola Municipal Airport;Apalachicola#United States!North America
AAS,Apalapsili Airport;Apalapsili#Indonesia!Asia
APO,Apartado Airport;Apartado#Colombia!South America
APK,Apataki Airport;Apataki#French Polynesia!Oceania
AZG,Apatzingan Airport;Apatzingan#Mexico!North America
APW,Faleolo Airport;Apia#Samoa!Oceania
FGI,Fagali I Airport;Apia#Samoa!Oceania
API,Apiay Airport;Apiay#Colombia!South America
APB,Apolo Airport;Apolo#Bolivia!South America
APV,Apple Valley Airport;Apple Valley#United States!North America
ATW,Outagamie County Regional Airport;Appleton#United States!North America
YQJ,April Point Seaplane Base;April Point#Canada!North America
APR,April River Airport;April River#Papua New Guinea!Asia
APU,Apucarana Airport;Apucarana#Brazil!South America
AQJ,King Hussein International Airport;Aqaba#Jordan!Middle East
AJK,Araak Airport;Araak#Iran!Asia
AJU,Aracaju Airport;Aracaju#Brazil!South America
ARU,Aracatuba Airport;Aracatuba#Brazil!South America
ARW,Arad Airport;Arad#Romania!Europe
ARS,Aragarcas Airport;Aragarcas#Brazil!South America
