iata,name;city#countryName!regionName
LRR,Lar Airport;Lar#Iran!Asia
MSU,Moshoeshoe International Airport;Maseru#Lesotho!Africa
AAE,Les Salines Airport;Annaba#Algeria!Africa
BMV,Phung-Duc Airport;Banmethuot#Viet Nam!Asia
YFA,Fort Albany Airport;Fort Albany#Canada!North America
REP,Siem Reap International Airport;Siem Reap#Cambodia!Asia
VEY,Vestmannaeyjar Airport;Vestmannaeyjar#Iceland!Europe
MNU,Mawlamyine Airport;Mawlamyine#Myanmar!Asia
TRO,Taree Airport;Taree#Australia!Oceania
VGA,Vijayawada Airport;Vijayawada#India!Asia
GVR,Governador Valadares Airport;Governador Valadares#Brazil!South America
SDE,Santiago Del Estero Airport;Santiago Del Estero#Argentina!South America
GDL,Don Miguel Hidal Y Costilla International Airport;Guadalajara#Mexico!North America
VHM,Vilhelmina Airport;Vilhelmina#Sweden!Europe
YQQ,Comox Airport;Comox#Canada!North America
YBL,Campbell River Airport;Campbell River#Canada!North America
GEG,Spokane International Airport;Spokane#United States!North America
ARK,Arusha Airport;Arusha#United Republic of Tanzania!Africa
SDJ,Sendai Airport;Sendai#Japan!Asia
LOK,Lodwar Airport;Lodwar#Kenya!Africa
BOD,Bordeaux Airport;Bordeaux#France!Europe
ASK,Yamoussoukro Airport;Yamoussoukro#Cote d'Ivoire!Africa
IBZ,Ibiza Airport;Ibiza#Spain and Canary Islands!Europe
INZ,In Salah Airport;In Salah#Algeria!Africa
MUX,Multan Airport;Multan#Pakistan!Asia
LOP,Lombok International Airport;Praya#Indonesia!Asia
PZE,Penzance Heliport;Penzance#United Kingdom!Europe
ATK,Atqasuk Airport;Atqasuk#United States!North America
BEY,Beirut-Rafic Hariri International Airport;Beirut#Lebanon!Middle East
CAI,Cairo International Airport;Cairo#Egypt!Middle East
CYZ,Cauayan Airport;Cauayan#Philippines!Asia
PZO,Manuel Carlos Piar Guayana Airport;Puerto Ordaz#Venezuela!South America
RNS,Rennes Airport;Rennes#France!Europe
JUJ,El Cadillal Airport;Jujuy#Argentina!South America
SHY,Shinyanga Airport;Shinyanga#United Republic of Tanzania!Africa
KZS,Kastellorizo Airport;Kastellorizo#Greece!Europe
AKL,Auckland Airport;Auckland#New Zealand!Oceania
DPO,Devonport Airport;Devonport#Australia!Oceania
ITO,Hilo International Airport;Hilo#United States!North America
EYK,Beloyarsky Airport;Beloyarsky#Russian Federation!Europe
MEM,Memphis International Airport;Memphis#United States!North America
WBB,Stebbins Airport;Stebbins#United States!North America
PHF,Newport News/Williamsburg International Airport;Newport News#United States!North America
NOZ,Novokuznetsk Airport;Novokuznetsk#Russian Federation!Europe
PIE,St. Petersburg-Clearwater International Airport;Saint Petersburg#United States!North America
FPO,Grand Bahama International Airport;Freeport#Bahamas!Caribbean
CHO,Charlottesville Albemarle Airport;Charlottesville#United States!North America
YCO,Kugluktuk Airport;Kugluktuk/Coppermine#Canada!North America
WUS,Wuyishan Airport;Wuyishan#China!Asia
RCE,Roche Harbor Airport;Roche Harbor#United States!North America
IRA,Kirakira Airport;Kirakira#Solomon Islands!Oceania
SGF,Springfield-Branson National Airport;Springfield#United States!North America
EGS,Egilsstadir Airport;Egilsstadir#Iceland!Europe
PIK,Glasgow Prestwick Airport;Glasgow#United Kingdom!Europe
THE,Teresina Airport;Teresina#Brazil!South America
HIR,Honiara International Airport;Honiara#Solomon Islands!Oceania
WLS,Wallis Island Airport;Wallis Island#Wallis and Futuna Islands!Oceania
SCC,Prudhoe Bay/Deadhorse Airport;Prudhoe Bay/Deadhorse#United States!North America
CIJ,E. Beltram Airport;Cobija#Bolivia!South America
GWY,Carnmore Airport;Galway#Ireland!Europe
TNK,Tununak Airport;Tununak#United States!North America
FMM,Memmingen Allgau Airport;Memmingen#Germany!Europe
LAX,Los Angeles International Airport;Los Angeles#United States!North America
TLT,Tuluksak Airport;Tuluksak#United States!North America
KKE,Kerikeri Airport;Kerikeri#New Zealand!Oceania
ABD,Abadan Airport;Abadan#Iran!Asia
CVU,Corvo Island (Azores) Airport;Corvo Island (Azores)#Portugal!Europe
KEB,Nanwalek Airport;Nanwalek#United States!North America
SZX,Shenzhen Bao'an International Airport;Shenzhen#China!Asia
EZV,Beryozovo Airport;Beryozovo#Russian Federation!Europe
CHE,Reenroe Airport;Caherciveen#Ireland!Europe
WJA,Woja Airport;Woja#Marshall Islands!Oceania
YLL,Lloydminster Airport;Lloydminster#Canada!North America
YWM,Williams Harbour Airport;Williams Harbour#Canada!North America
DDG,Langtou Airport;Dandong#China!Asia
CDG,Charles de Gaulle Airport;Paris#France!Europe
LNE,Lonorore Airport;Lonorore#Vanuatu!Oceania
ZLT,La Tabatiere Airport;La Tabatiere#Canada!North America
CIF,Chifeng Airport;Chifeng#China!Asia
ULO,Ulaangom Airport;Ulaangom#Mongolia!Asia
ZNA,Nanaimo Harbor Water Airport;Nanaimo#Canada!North America
NAT,Augusto Severo Airport;Natal#Brazil!South America
GGG,Gregg County Airport;Longview#United States!North America
CPV,Joao Suassuna Airport;Campina Grande#Brazil!South America
RBR,Pres. Medici Airport;Rio Branco#Brazil!South America
TKK,Chuuk International Airport;Truk, Caroline Islands#Micronesia!Oceania
EDI,Edinburgh Airport;Edinburgh#United Kingdom!Europe
MQL,Mildura Airport;Mildura#Australia!Oceania
INL,Falls International Airport;International Falls#United States!North America
IRK,Kirksville Municipal Airport;Kirksville#United States!North America
PHW,Phalaborwa Airport;Phalaborwa#South Africa!Africa
MUE,Kamuela Airport;Kamuela#United States!North America
BNC,Beni Airport;Beni#The Democratic Republic of The Congo!Africa
JUV,Upernavik Airport;Upernavik#Greenland!North America
ASP,Alice Springs Airport;Alice Springs#Australia!Oceania
DOM,Melville Hall Airport;Dominica#Dominica!Caribbean
LBS,Labasa Airport;Labasa#Fiji!Oceania
SPU,Split Airport;Split#Croatia!Europe
TBO,Tabora Airport;Tabora#United Republic of Tanzania!Africa
HRE,Harare International Airport;Harare#Zimbabwe!Africa
SZB,Sultan Abdul Aziz Shah Airport;Kuala Lumpur#Malaysia!Asia
GCW,Grand Canyon West Airport;Peach Springs#United States!North America
NCL,Newcastle Airport;Newcastle#United Kingdom!Europe
BNI,Benin City Airport;Benin City#Nigeria!Africa
YGR,Iles De La Madeleine Airport;Iles De La Madeleine#Canada!North America
CFE,Clermont-Ferrand Auvergne Airport;Clermont-Ferrand#France!Europe
PPN,Guillermo Leon Valencia Airport;Popayan#Colombia!South America
KXA,Kasaan Sea Plane Base;Kasaan#United States!North America
