iata,name,city,countryName,regionName,utcOffsetHours,latitude,longitude
UAL,Luau Airport,Luau,Angola,Africa,1,-11,22.5
UGU,"Zugapa, Irian Jaya Airport","Zugapa, Irian Jaya",Indonesia,Asia,9,-3.733333,137.033333
UIK,Ust-Ilimsk Airport,Ust-Ilimsk,Russian Federation,Europe,8,58.133333,102.55
UIQ,Quine Hill Airport,Quine Hill,Vanuatu,Oceania,11,-17,168.166667
TTR,Pongtiku Airport,Tana Toraja,Indonesia,Asia,8,-3.043588,119.821247
ULS,Mulatos Airport,Mulatos,Colombia,South America,-5,8.65,-76.75
ULX,Ulusaba Airport,Ulusaba,South Africa,Africa,2,-24.783333,31.35
UMB,North Shore Airport,Umnak Island,United States,North America,-8,53.376667,-167.8875
UMC,Umba Airport,Umba,Papua New Guinea,Asia,10,-7.016667,145.966667
UNS,Umnak Island Airport,Umnak Island,United States,North America,-8,53.25,-168.333333
URB,Ernesto Pochler Airport,Urubupunga,Brazil,South America,-3,-20.77833,-51.56287
UON,Muong Sai Airport,Muong Sai,Lao People's Democratic Republic,Asia,7,20.7,101.983333
UPA,Punta Alegre Airport,Punta Alegre,Cuba,Caribbean,-4,22.383333,-78.816667
UNC,Unguia Airport,Unguia,Colombia,South America,-5,8.033333,-77.083333
UPF,Pforheim Airport,Pforheim,Germany,Europe,2,48.866667,8.683333
UPL,Upala Airport,Upala,Costa Rica,Central America,-6,10.783333,-85.033333
UPR,Upiara Airport,Upiara,Papua New Guinea,Asia,10,-8.533333,142.633333
UQE,Queen Airport,Queen,United States,North America,-8,58.876667,-158.431667
URI,Uribe Airport,Uribe,Colombia,South America,-5,3.216667,-74.4
URN,Urgoon Airport,Urgoon,Afghanistan,Asia,4.5,32.95,69.183333
URZ,Uruzgan Airport,Uruzgan,Afghanistan,Asia,4.5,32.9,66.616667
USI,Mabaruma Airport,Mabaruma,Guyana,South America,-4,8.166667,-59.833333
USL,Useless Loop Airport,Useless Loop,Australia,Oceania,8,-25.966667,113.116667
USS,Sancti Spiritus Airport,Sancti Spiritus,Cuba,Caribbean,-4,21.866667,-79.55
